generation,map_index,token_ratio,explore_dist,min_fitness,max_fitness,mean_fitness,median_fitness,sd,se,var,n,ancestors
51,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
51,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
51,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
52,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
52,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
52,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
52,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
53,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
53,1,0.000000,0.500000,0,73,0.000000,73,73.137394,7.313739,5349.078378,100,1
53,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
53,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
