generation,map_index,token_ratio,explore_dist,min_fitness,max_fitness,mean_fitness,median_fitness,sd,se,var,n,ancestors
9,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
9,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
9,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
9,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
10,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
10,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
10,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
10,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
11,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
11,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
11,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
11,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
12,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
12,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
12,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
12,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
13,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
13,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
13,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
13,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
14,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
14,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
14,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
14,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
15,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
15,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
15,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
15,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
16,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
16,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
16,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
16,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
17,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
17,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
17,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
17,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
18,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
18,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
18,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
18,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
19,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
19,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
19,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
19,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
20,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
20,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
20,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
20,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
21,0,0.000000,0.000000,0,63,0.000000,63,63.692259,6.369226,4056.703801,100,1
21,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
21,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
21,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
22,0,0.000000,0.000000,0,65,0.000000,65,64.534436,6.453444,4164.693374,100,2
22,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
22,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
22,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
23,0,0.000000,0.000000,0,65,0.000000,65,65.137491,6.513749,4242.892719,100,1
23,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
23,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
23,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
24,0,0.000000,0.000000,0,65,0.000000,65,65.137491,6.513749,4242.892719,100,1
24,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
24,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
24,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
25,0,0.000000,0.000000,0,65,0.000000,65,65.137491,6.513749,4242.892719,100,1
25,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
25,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
25,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
26,0,0.000000,0.000000,0,65,0.000000,65,65.137491,6.513749,4242.892719,100,1
26,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
26,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
26,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
27,0,0.000000,0.000000,0,65,0.000000,65,65.137491,6.513749,4242.892719,100,1
27,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
27,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
27,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
28,0,0.000000,0.000000,0,65,0.000000,65,65.137491,6.513749,4242.892719,100,1
28,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
28,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
28,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
29,0,0.000000,0.000000,0,65,0.000000,65,65.137491,6.513749,4242.892719,100,1
29,1,0.000000,0.500000,0,63,0.000000,63,63.525527,6.352553,4035.492518,100,1
29,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
29,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
30,0,0.000000,0.000000,0,65,0.000000,65,65.137491,6.513749,4242.892719,100,1
30,1,0.000000,0.500000,0,75,0.000000,63,66.301769,6.630177,4395.924532,100,2
30,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
30,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
31,0,0.000000,0.000000,0,77,0.000000,77,77.373737,7.737374,5986.695107,100,2
31,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
31,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
31,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
32,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
32,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
32,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
32,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
33,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
33,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
33,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
33,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
34,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
34,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
34,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
34,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
35,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
35,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
35,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
35,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
36,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
36,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
36,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
36,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
37,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
37,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
37,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
37,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
38,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
38,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
38,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
38,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
39,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
39,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
39,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
39,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
40,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
40,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
40,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
40,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
41,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
41,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
41,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
41,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
42,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
42,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
42,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
42,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
43,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
43,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
43,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
43,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
44,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
44,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
44,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
44,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
45,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
45,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
45,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
45,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
46,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
46,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
46,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
46,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
47,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
47,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
47,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
47,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
48,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
48,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
48,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
48,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
49,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
49,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
49,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
49,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
50,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
50,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
50,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
50,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
51,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
51,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
51,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
51,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
52,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
52,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
52,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
52,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
53,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
53,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
53,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
53,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
54,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
54,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
54,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
54,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
55,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
55,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
55,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
55,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
56,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
56,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
56,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
56,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
57,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
57,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
57,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
57,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
58,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
58,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
58,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
58,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
59,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
59,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
59,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
59,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
60,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
60,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
60,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
60,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
61,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
61,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
61,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
61,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
62,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
62,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
62,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
62,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
63,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
63,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
63,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
63,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
64,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
64,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
64,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
64,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
65,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
65,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
65,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
65,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
66,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
66,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
66,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
66,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
67,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
67,1,0.000000,0.500000,0,75,0.000000,75,75.324763,7.532476,5673.819855,100,1
67,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
67,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
68,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
68,1,0.000000,0.500000,0,77,0.000000,75,76.436313,7.643631,5842.509955,100,2
68,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
68,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
69,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
69,1,0.000000,0.500000,0,77,0.000000,77,77.945256,7.794526,6075.462951,100,1
69,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
69,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
70,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
70,1,0.000000,0.500000,0,77,0.000000,77,77.945256,7.794526,6075.462951,100,1
70,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
70,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
71,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
71,1,0.000000,0.500000,0,77,0.000000,77,77.945256,7.794526,6075.462951,100,1
71,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
71,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
72,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
72,1,0.000000,0.500000,0,77,0.000000,77,77.945256,7.794526,6075.462951,100,1
72,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
72,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
73,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
73,1,0.000000,0.500000,0,77,0.000000,77,77.945256,7.794526,6075.462951,100,1
73,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
73,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
74,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
74,1,0.000000,0.500000,0,77,0.000000,77,77.945256,7.794526,6075.462951,100,1
74,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
74,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
75,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
75,1,0.000000,0.500000,0,77,0.000000,77,77.945256,7.794526,6075.462951,100,1
75,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
75,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
76,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
76,1,0.000000,0.500000,0,77,0.000000,77,77.945256,7.794526,6075.462951,100,1
76,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
76,3,0.500000,0.500000,0,95,0.000000,95,95.202132,9.520213,9063.445887,100,1
77,0,0.000000,0.000000,0,77,0.000000,77,77.964570,7.796457,6078.474180,100,1
77,1,0.000000,0.500000,0,77,0.000000,77,77.945256,7.794526,6075.462951,100,1
