generation,map_index,token_ratio,explore_dist,min_fitness,max_fitness,mean_fitness,median_fitness,sd,se,var,n,ancestors
9,0,0.000000,0.000000,0,63,0.000000,63,63.101969,6.310197,3981.858493,100,1
9,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
9,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
9,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
10,0,0.000000,0.000000,0,63,0.000000,63,63.101969,6.310197,3981.858493,100,1
10,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
10,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
10,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
11,0,0.000000,0.000000,0,63,0.000000,63,63.101969,6.310197,3981.858493,100,1
11,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
11,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
11,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
12,0,0.000000,0.000000,0,63,0.000000,63,63.101969,6.310197,3981.858493,100,1
12,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
12,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
12,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
13,0,0.000000,0.000000,0,63,0.000000,63,63.101969,6.310197,3981.858493,100,1
13,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
13,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
13,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
14,0,0.000000,0.000000,0,63,0.000000,63,63.101969,6.310197,3981.858493,100,1
14,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
14,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
14,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
15,0,0.000000,0.000000,0,63,0.000000,63,63.101969,6.310197,3981.858493,100,1
15,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
15,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
15,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
16,0,0.000000,0.000000,0,64,0.000000,63,63.510227,6.351023,4033.548922,100,2
16,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
16,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
16,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
17,0,0.000000,0.000000,0,64,0.000000,64,64.331145,6.433114,4138.496157,100,1
17,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
17,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
17,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
18,0,0.000000,0.000000,0,65,0.000000,64,64.840587,6.484059,4204.301682,100,2
18,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
18,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
18,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
19,0,0.000000,0.000000,0,65,0.000000,65,65.629477,6.562948,4307.228273,100,1
19,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
19,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
19,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
20,0,0.000000,0.000000,0,66,0.000000,65,65.859477,6.585948,4337.470653,100,2
20,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
20,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
20,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
21,0,0.000000,0.000000,0,66,0.000000,66,66.971073,6.697107,4485.124625,100,1
21,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
21,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
21,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
22,0,0.000000,0.000000,0,66,0.000000,66,66.971073,6.697107,4485.124625,100,1
22,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
22,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
22,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
23,0,0.000000,0.000000,0,66,0.000000,66,66.971073,6.697107,4485.124625,100,1
23,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
23,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
23,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
24,0,0.000000,0.000000,0,66,0.000000,66,66.971073,6.697107,4485.124625,100,1
24,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
24,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.152398,1.741885,75,1
24,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
25,0,0.000000,0.000000,0,66,0.000000,66,66.971073,6.697107,4485.124625,100,1
25,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
25,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
25,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
26,0,0.000000,0.000000,0,66,0.000000,66,66.971073,6.697107,4485.124625,100,1
26,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
26,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
26,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
27,0,0.000000,0.000000,0,66,0.000000,66,66.971073,6.697107,4485.124625,100,1
27,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
27,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
27,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
28,0,0.000000,0.000000,0,74,0.000000,66,67.125259,6.712526,4505.800390,100,2
28,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
28,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
28,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
29,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
29,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
29,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
29,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
30,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
30,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
30,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
30,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
31,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
31,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
31,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
31,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
32,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
32,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
32,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
32,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
33,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
33,1,0.000000,0.500000,0,70,0.000000,70,70.986971,7.098697,5039.150074,100,1
33,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
33,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
34,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
34,1,0.000000,0.500000,0,74,0.000000,70,71.179335,7.117934,5066.497787,100,2
34,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
34,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
35,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
35,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
35,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
35,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
36,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
36,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
36,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
36,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
37,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
37,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
37,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
37,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
38,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
38,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
38,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
38,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
39,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
39,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
39,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
39,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
40,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
40,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
40,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
40,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
41,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
41,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
41,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
41,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
42,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
42,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
42,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
42,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
43,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
43,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
43,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
43,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
44,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
44,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
44,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
44,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
45,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
45,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
45,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
45,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
46,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
46,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
46,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
46,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
47,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
47,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
47,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
47,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
48,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
48,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
48,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
48,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
49,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
49,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
49,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
49,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
50,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
50,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
50,2,0.500000,0.000000,0,1,0.000000,1,1.319805,0.131980,1.741885,100,1
50,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
51,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
51,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
51,2,0.500000,0.000000,0,40,0.000000,40,29.839323,2.983932,890.385179,100,2
51,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
52,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
52,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
52,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
52,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
53,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
53,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
53,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
53,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
54,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
54,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
54,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
54,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
55,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
55,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
55,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
55,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
56,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
56,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
56,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
56,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
57,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
57,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
57,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
57,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
58,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
58,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
58,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
58,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
59,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
59,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
59,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
59,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
60,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
60,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
60,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
60,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
61,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
61,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
61,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
61,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
62,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
62,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
62,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
62,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
63,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
63,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
63,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
63,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
64,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
64,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
64,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
64,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
65,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
65,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
65,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
65,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
66,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
66,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
66,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
66,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
67,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
67,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
67,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
67,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
68,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
68,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
68,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
68,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
69,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
69,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
69,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
69,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
70,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
70,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
70,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
70,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
71,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
71,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
71,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
71,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
72,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
72,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
72,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
72,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
73,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
73,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
73,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
73,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
74,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
74,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
74,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
74,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
75,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
75,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
75,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
75,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
76,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
76,1,0.000000,0.500000,0,74,0.000000,74,74.127898,7.412790,5494.945289,100,1
76,2,0.500000,0.000000,0,40,0.000000,40,40.217620,4.021762,1617.456965,100,1
76,3,0.500000,0.500000,0,104,0.000000,104,104.163320,10.416332,10849.997316,100,1
77,0,0.000000,0.000000,0,74,0.000000,74,74.289386,7.428939,5518.912900,100,1
